,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
415,braintree,20,GB,1561129050,52,51.88,0.55,72,3.36
416,esna,75,RO,1561129051,61,45.2,27.57,80.6,6.93
417,krusevac,0,HR,1561129051,40,43.38,17.11,95,13.87
418,scarborough,0,GB,1561129051,45,54.28,-0.41,64.99,11.41
419,ozinki,65,RU,1561129051,45,51.2,49.73,81.05,6.38
420,ada,1,US,1561129051,63,47.3,-96.52,64.99,8.05
421,nurota,0,UZ,1561129052,12,40.56,65.69,93.2,6.93
422,darien,1,US,1561129052,46,41.75,-87.98,73,4.7
423,yuzhnyy,27,RU,1561129052,67,53.54,39.45,79.43,4.07
424,rantauprapat,100,ID,1561129052,98,2.1,99.83,67.91,4.12
425,hamilton,75,BM,1561128974,83,32.3,-64.78,84,26.4
426,merke,100,KZ,1561129053,28,42.87,73.19,77.09,6.93
427,mutsamudu,,,,,,,,
428,bansi,2,IN,1561129053,37,27.18,82.93,97.43,4.41
429,southbridge,90,US,1561128914,88,42.08,-72.03,68,10.29
430,aripuana,12,BR,1561129053,43,-9.17,-60.63,88.43,5.44
431,trat,3,TH,1561129053,71,12.25,102.51,88,2.33
432,solikamsk,72,RU,1561129053,44,59.65,56.78,59.63,8.14
433,gergebil,40,RU,1561129053,50,42.5,47.06,78.8,15.66
434,sobolevo,100,RU,1561129054,86,54.43,31.9,76.19,8.41
435,corinto,0,BR,1561129054,38,-18.36,-44.46,78.71,9.66
436,mahajanga,40,MG,1561129054,45,-15.72,46.32,86,6.93
437,zolochiv,0,UA,1561129054,21,50.28,35.98,89.6,6.71
438,hit,0,IQ,1561129054,15,33.64,42.83,97.25,12.3
439,recreio,47,BR,1561129055,55,-21.52,-42.47,75.99,1.99
440,sulangan,3,PH,1561129055,70,11.14,123.72,84.65,1.79
441,mayo,75,CA,1561129055,82,63.59,-135.9,55.4,3.36
442,weligama,100,LK,1561129055,79,5.97,80.42,84.29,20.65
443,yumen,62,CN,1561129055,59,40.29,97.04,64.85,4.88
444,morehead,40,US,1561129055,73,38.18,-83.43,71.01,4.7
445,kang,0,BW,1561129056,27,-23.67,22.79,68.27,6.49
446,dalvik,52,SE,1561129056,45,57.79,14.13,66.99,13.87
447,rolla,75,US,1561129056,88,37.95,-91.77,79,11.41
448,banff,100,CA,1561128865,95,51.18,-115.57,45,6.58
449,aramecina,75,HN,1561129056,88,13.74,-87.71,84.2,9.17
450,bethel,90,US,1561128783,100,60.79,-161.76,48.2,6.64
451,calvinia,0,ZA,1561129057,79,-31.47,19.78,52.79,27.22
452,isangel,97,VU,1561129057,72,-19.55,169.27,74.57,9.89
453,axim,98,GH,1561129057,83,4.87,-2.24,79.61,14.83
454,avera,40,US,1561129057,66,33.19,-82.53,86,10.29
455,tortoli,20,IT,1561129058,74,39.93,9.66,89.01,6.93
456,mareeba,0,AU,1561129058,77,-16.99,145.42,60.8,11.41
457,begunitsy,40,RU,1561129058,61,59.58,29.3,80.6,11.18
458,nara,75,JP,1561129058,83,34.68,135.8,73.4,9.17
459,mandali,0,IQ,1561129058,12,33.75,45.55,100.13,18.79
460,bourail,70,NC,1561129058,92,-21.57,165.5,65.93,2.42
461,burgeo,100,CA,1561129059,92,47.61,-57.61,49.01,28.59
462,naze,75,NG,1561129059,70,5.43,7.07,87.8,5.82
463,berlevag,0,NO,1561129059,70,70.86,29.09,48.2,23.04
464,grants,1,US,1561129003,14,35.15,-107.85,69.8,11.41
465,ilebo,0,CD,1561129059,22,-4.33,20.59,92.93,2.8
466,new port richey,90,US,1561129024,70,28.24,-82.72,91,6.93
467,ajdabiya,0,LY,1561129059,78,30.75,20.22,75.29,20.51
468,linhai,100,CN,1561129060,100,28.86,121.14,75.99,3.51
469,luau,0,CD,1561129060,22,-10.7,22.23,81.59,4.32
470,yar-sale,100,RU,1561129060,66,66.83,70.83,45.77,14.9
471,olyka,75,UA,1561129060,69,50.73,25.81,77,6.71
472,ixtapa,40,MX,1561129060,65,20.71,-105.21,84.99,1.43
473,saskylakh,81,RU,1561129060,61,71.97,114.09,55.49,17
474,zinder,20,NE,1561129060,35,13.81,8.99,100.4,13.87
475,kamenskoye,,,,,,,,
476,suntar,45,RU,1561129061,63,62.16,117.65,62.51,5.17
477,batsfjord,0,NO,1561129061,57,70.63,29.72,48.2,16.11
478,grand island,1,US,1561128870,88,40.92,-98.34,69.01,12.75
479,launceston,0,AU,1561129061,92,-41.43,147.14,37,2.08
480,nizwa,0,OM,1561129061,13,22.93,57.53,95.27,10.11
481,guarenas,100,VE,1561129061,58,10.48,-66.6,77,5.75
482,los llanos de aridane,75,ES,1561129062,73,28.66,-17.92,73.4,5.82
483,sao borja,0,BR,1561128997,77,-28.66,-56,70.07,9.37
484,saint george,20,GR,1561129062,31,39.45,22.34,93.99,13.87
485,port keats,76,AU,1561129062,33,-14.25,129.55,67.73,15.01
486,dakar,0,SN,1561128802,46,14.69,-17.45,91.4,11.41
487,abu zabad,0,SD,1561129062,21,12.35,29.25,99.23,7.52
488,mwanza,20,TZ,1561129038,35,-2.52,32.9,86,11.41
489,chupei,,,,,,,,
490,itarema,0,BR,1561129063,53,-2.92,-39.92,84.83,10.74
491,muroto,67,JP,1561129063,95,33.37,134.14,64.49,6.24
492,palmas,0,BR,1561129063,40,-10.18,-48.33,87.8,5.82
493,zhob,3,PK,1561129063,55,31.34,69.45,70.25,13.24
494,honiara,75,SB,1561129063,94,-9.43,159.96,78.8,2.24
495,eydhafushi,100,MV,1561129063,80,5.1,73.07,83.57,15.86
496,tuburan,20,PH,1561129064,74,10.73,123.82,86,3.36
497,safita,40,SY,1561129064,65,34.82,36.12,82.4,9.17
498,tim,20,RU,1561129064,33,51.62,37.12,86,6.71
499,conde,0,BR,1561128816,53,-11.81,-37.61,83.39,8.43
500,olga,90,US,1561129064,77,34.11,-118.17,64.99,3.04
501,bargal,,,,,,,,
502,yining,100,CN,1561129064,98,29.04,114.56,73.13,3.22
503,umm bab,1,QA,1561129065,17,25.21,50.81,102.2,18.34
504,alyangula,63,AU,1561129065,88,-13.85,136.42,64.4,4.7
505,manati,0,AL,1561129065,55,41.76,19.67,86,10.29
506,tumannyy,,,,,,,,
507,ust-kuyga,11,RU,1561129065,38,70,135.55,66.29,9.95
508,namatanai,96,PG,1561129065,81,-3.66,152.44,79.61,6.55
509,higuey,,,,,,,,
510,chillicothe,1,US,1561128982,60,39.33,-82.98,72,5.82
511,les escoumins,43,CA,1561129066,54,48.35,-69.4,65.75,8.7
512,tyulgan,54,RU,1561129066,71,52.34,56.17,70.07,11.95
513,mana,40,RS,1561129066,45,43.52,20.24,86,5.82
514,fort nelson,75,CA,1561129066,87,58.81,-122.69,50,3.36
515,nalut,15,LY,1561129066,9,31.86,10.98,105.17,15.59
516,brufut,20,GM,1561129066,55,13.38,-16.75,91.4,12.75
517,gushikawa,75,JP,1561129067,94,26.35,127.87,82.4,16.11
518,nicoya,0,CR,1561129067,79,10.15,-85.45,84.2,3.36
519,dangriga,75,BZ,1561129067,79,16.97,-88.23,86,13.87
520,saleaula,,,,,,,,
521,pitimbu,75,BR,1561129067,69,-7.47,-34.81,82.4,18.34
522,tutoia,0,BR,1561129067,63,-2.76,-42.27,85.73,6.87
523,lethem,36,GY,1561129067,56,3.38,-59.8,87.71,13.82
524,san vicente,20,SV,1561129068,70,13.64,-88.78,86,5.82
525,haibowan,,,,,,,,
526,zhezkazgan,40,KZ,1561129069,23,47.8,67.71,82.4,4.47
527,flinders,0,AU,1561129069,80,-34.58,150.85,48.99,9.17
528,eureka,0,US,1561128933,87,40.8,-124.16,55.99,6.93
529,vila velha,0,BR,1561129069,52,-3.71,-38.6,87.8,16.11
530,palm coast,75,US,1561128933,66,29.55,-81.22,90,9.17
531,ancud,75,CL,1561129069,87,-41.87,-73.83,53.6,21.92
532,gavrilov posad,99,RU,1561129069,74,56.56,40.12,75.65,5.73
533,skiros,,,,,,,,
534,lesnoy,42,RU,1561129070,52,59.78,52.13,65.93,4.36
535,vanavara,59,RU,1561129070,68,60.35,102.28,55.67,2.66
536,san juan,40,PR,1561128807,62,18.47,-66.12,90,10.29
537,san felipe,67,CL,1561128792,99,-32.75,-70.73,50,3.47
538,oyama,75,JP,1561129071,83,36.31,139.8,77,6.93
539,lyndon,90,US,1561128957,93,38.61,-95.68,80.01,17.22
540,chandur bazar,83,IN,1561129071,44,21.24,77.75,86.45,7.09
541,esperance,20,TT,1561129071,66,10.24,-61.45,88,20.8
542,dahuk,,,,,,,,
543,hovd,75,NO,1561129072,66,63.83,10.7,57.2,5.82
544,erzin,40,TR,1561129072,52,36.95,36.2,88,8.05
545,hambantota,75,LK,1561129072,88,6.12,81.12,82.4,10.29
546,peleduy,100,RU,1561129072,86,59.63,112.75,58.55,2.86
547,bulungu,0,CD,1561129072,21,-4.54,18.6,94.19,3.6
548,batagay-alyta,0,RU,1561129072,61,67.8,130.41,54.77,2.57
549,saint-max,0,FR,1561129073,35,48.7,6.21,73.99,8.05
550,walvis bay,0,NA,1561129073,34,-22.95,14.51,70.97,21.59
551,lazaro cardenas,20,MX,1561129073,17,28.39,-105.62,90,4.7
552,tubruq,,,,,,,,
553,turukhansk,86,RU,1561129073,50,65.8,87.96,63.59,17.18
554,port-de-bouc,0,FR,1561129073,61,43.4,4.98,80.01,12.75
555,dhidhdhoo,100,MV,1561128861,78,6.88,73.1,84.65,19.19
556,sandane,75,NO,1561129074,81,61.77,6.22,57,11.41
557,roebourne,88,AU,1561129074,64,-20.77,117.15,67.73,9.98
558,tilichiki,100,RU,1561129074,91,60.47,166.1,44.15,2.3
559,moose factory,1,CA,1561129074,62,51.26,-80.61,57.2,12.75
560,college,1,US,1561129074,72,64.86,-147.8,66,3.36
561,dunedin,36,NZ,1561129074,56,-45.87,170.5,46,4
562,fukue,75,JP,1561129075,83,35.03,136.69,73.99,8.05
563,seoul,1,KR,1561128840,72,37.57,126.98,69.8,5.82
564,vung tau,100,VN,1561128971,84,10.35,107.08,82.49,6.78
565,calabar,75,NG,1561129075,74,4.98,8.34,86,11.41
566,rolim de moura,,,,,,,,
567,longyearbyen,20,NO,1561129075,70,78.22,15.63,48.2,9.17
568,kiama,0,AU,1561129075,80,-34.67,150.86,48.99,9.17
569,road town,40,VG,1561129075,70,18.42,-64.62,86,102.45
570,yerbogachen,95,RU,1561129076,58,61.28,108.01,60.89,5.19
571,zeya,9,RU,1561129076,69,53.74,127.27,56.75,2.93
572,mogadishu,75,SO,1561129076,65,2.04,45.34,82.4,19.46
573,shubarshi,60,KZ,1561129076,27,48.59,57.19,85.19,13.94
574,lodwar,18,KE,1561129076,30,3.12,35.6,93.47,9.13
575,les herbiers,0,FR,1561129076,43,46.87,-1.01,75,5.82
576,bemidji,40,US,1561129077,59,47.48,-94.89,66.99,13.87
577,alamos,100,AR,1561129077,75,-36.9,-62.36,54.23,6.78
578,bima,21,ID,1561129077,97,-8.45,118.73,66.65,2.24
579,kalmunai,100,LK,1561129077,64,7.42,81.82,83.03,6.49
580,chernyanka,34,RU,1561129077,59,50.94,37.8,80.87,2.91
581,chardara,,,,,,,,
582,talnakh,20,RU,1561129077,62,69.49,88.39,51.8,17.9
583,batemans bay,0,AU,1561129078,99,-35.71,150.18,48,4.43
584,alice springs,0,AU,1561129078,55,-23.7,133.88,35.6,10.49
585,minot,90,US,1561129042,100,48.23,-101.3,60.8,13.87
586,nyurba,0,RU,1561129078,78,63.29,118.35,59.45,2.64
587,colac,81,AU,1561129078,99,-38.34,143.59,44.01,2.13
588,yeppoon,0,AU,1561129078,34,-23.13,150.74,51.8,5.82
589,lasa,20,CY,1561129078,65,34.92,32.53,84,8.05
590,visnes,75,NO,1561129079,71,59.36,5.22,59,18.34
591,inuvik,40,CA,1561129079,59,68.36,-133.71,60.8,6.93
592,onoda,75,JP,1561129079,78,34,131.18,73.4,9.17
593,agua verde,5,MX,1561129079,74,22.89,-105.97,82.99,2.66
594,san fernando,90,CL,1561129080,81,-34.58,-70.99,50,1.86
595,kutum,81,SD,1561129080,9,14.2,24.66,97.79,13.71
596,port hardy,75,CA,1561129080,87,50.7,-127.42,53.6,3.36
597,wanaka,91,NZ,1561129080,75,-44.7,169.14,42.01,1.99
598,wamba,100,CD,1561129080,94,2.14,27.99,74.57,0.94
599,tecuci,62,RO,1561129080,48,45.85,27.43,82.13,3.56
600,vangaindrano,16,MG,1561129081,86,-23.35,47.6,64.49,2.75
601,kalat,50,PK,1561129081,11,29.03,66.58,81.59,13
602,faya,40,SA,1561129081,12,18.39,42.45,89.6,17.22
603,ternate,75,PH,1561129081,84,14.29,120.72,86,6.93
604,taoudenni,0,ML,1561129081,5,22.68,-3.98,110.93,12.57
605,seymchan,98,RU,1561129081,73,62.93,152.39,48.65,2.8
606,kuche,,,,,,,,
607,xunchang,100,CN,1561129082,89,28.45,104.71,79.25,2.53
608,paamiut,24,GL,1561129082,88,61.99,-49.67,39.11,15.28
609,miramar,40,CR,1561129082,73,10.09,-84.73,77,12.75
610,kosai,75,JP,1561129082,83,34.71,137.53,73.99,8.05
611,tongchuan,90,CN,1561129082,100,34.9,108.95,68,6.71
612,cangzhou,100,CN,1561129083,40,38.3,116.85,77.81,5.88
613,beloha,37,MG,1561129083,61,-25.17,45.06,70.07,15.35
614,fez,0,MA,1561129083,37,34.03,-5.02,82.4,10.29
615,mallapuram,100,IN,1561129083,73,11.97,78.27,79.43,2.71
616,mezen,99,RU,1561129083,56,65.85,44.24,58.55,7.07
617,bac lieu,,,,,,,,
